"filename", "language", "Markdown", "PIC18 Assembler", "CMake", "CMake Cache", "JSON", "YAML", "Log", "C++", "C", "Shell Script", "HTML", "PostCSS", "XML", "JavaScript", "Python", "comment", "blank", "total"
"c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\dom\canvas_test.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 94, 0, 0, 0, 0, 0, 0, 0, 5, 10, 109
"c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\dom\clear_under.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 7, 8, 43
"c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\dom\color.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 69, 0, 0, 0, 0, 0, 0, 0, 45, 15, 129
"c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\dom\color_test.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 5, 6, 33
"c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\dom\composite_decorator.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 19, 9, 44
"c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\dom\dbox.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 9, 11, 60
"c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\dom\dbox_test.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 5, 6, 37
"c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\dom\dim.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 5, 7, 38
"c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\dom\dim_test.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 5, 5, 23
"c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\dom\flex.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 106, 0, 0, 0, 0, 0, 0, 0, 45, 31, 182
"c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\dom\flexbox.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 196, 0, 0, 0, 0, 0, 0, 0, 60, 39, 295
"c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\dom\flexbox_config.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 15, 9, 52
"c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\dom\flexbox_helper.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 325, 0, 0, 0, 0, 0, 0, 0, 12, 44, 381
"c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\dom\flexbox_helper.hpp", "C++", 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 7, 10, 54
"c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\dom\flexbox_helper_test.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 181, 0, 0, 0, 0, 0, 0, 0, 5, 48, 234
"c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\dom\flexbox_test.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 417, 0, 0, 0, 0, 0, 0, 0, 5, 40, 462
"c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\dom\focus.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 32, 13, 97
"c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\dom\frame.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 118, 0, 0, 0, 0, 0, 0, 0, 77, 28, 223
"c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\dom\gauge.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 0, 0, 0, 125, 23, 298
"c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\dom\gauge_test.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 82, 0, 0, 0, 0, 0, 0, 0, 5, 16, 103
"c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\dom\graph.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 8, 11, 76
"c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\dom\gridbox.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 121, 0, 0, 0, 0, 0, 0, 0, 37, 20, 178
"c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\dom\gridbox_test.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 564, 0, 0, 0, 0, 0, 0, 0, 7, 51, 622
"c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\dom\hbox.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 19, 15, 99
"c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\dom\hbox_test.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 328, 0, 0, 0, 0, 0, 0, 0, 6, 29, 363
"c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\dom\hyperlink.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 33, 9, 75
"c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\dom\hyperlink_test.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 3, 8, 43
"c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\dom\inverted.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 6, 7, 39
"c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\dom\italic.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 5, 7, 36
"c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\dom\italic_test.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 5, 5, 23
"c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\dom\linear_gradient.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 171, 0, 0, 0, 0, 0, 0, 0, 97, 35, 303
"c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\dom\linear_gradient_test.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 70, 0, 0, 0, 0, 0, 0, 0, 5, 16, 91
